GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
DevOps_Project,tn.esprit.devops_project.entities,ProductCategory,34,0,0,0,2,0,1,0,1,0
DevOps_Project,tn.esprit.devops_project.entities,Stock,36,0,0,0,6,0,8,0,8,0
DevOps_Project,tn.esprit.devops_project.entities,ActivitySector,46,0,0,0,7,0,10,0,10,0
DevOps_Project,tn.esprit.devops_project.entities,Supplier,69,0,0,0,11,0,15,0,15,0
DevOps_Project,tn.esprit.devops_project.entities,Operator,56,0,0,0,8,0,12,0,12,0
DevOps_Project,tn.esprit.devops_project.entities,InvoiceDetail,56,0,0,0,8,0,12,0,12,0
DevOps_Project,tn.esprit.devops_project.entities,Invoice,86,0,0,0,11,0,18,0,18,0
DevOps_Project,tn.esprit.devops_project.entities,Product,66,0,0,0,9,0,14,0,14,0
DevOps_Project,tn.esprit.devops_project.entities,SupplierCategory,24,0,0,0,2,0,1,0,1,0
DevOps_Project,tn.esprit.devops_project.controllers,ActivitySectorController,30,0,0,0,7,0,6,0,6,0
DevOps_Project,tn.esprit.devops_project.controllers,InvoiceController,37,0,0,0,9,0,7,0,7,0
DevOps_Project,tn.esprit.devops_project.controllers,StockController,20,0,0,0,4,0,4,0,4,0
DevOps_Project,tn.esprit.devops_project.controllers,ProductController,36,0,0,0,8,0,7,0,7,0
DevOps_Project,tn.esprit.devops_project.controllers,SupplierController,30,0,0,0,7,0,6,0,6,0
DevOps_Project,tn.esprit.devops_project.controllers,OperatorController,30,0,0,0,7,0,6,0,6,0
DevOps_Project,tn.esprit.devops_project.services,InvoiceServiceImpl,123,0,0,0,17,0,13,0,13,0
DevOps_Project,tn.esprit.devops_project.services,SupplierServiceImpl,52,0,0,0,8,0,8,0,8,0
DevOps_Project,tn.esprit.devops_project.services,ActivitySectorImpl,48,0,0,0,7,0,7,0,7,0
DevOps_Project,tn.esprit.devops_project.services,ProductServiceImpl,67,0,0,0,11,0,10,0,10,0
DevOps_Project,tn.esprit.devops_project.services,OperatorServiceImpl,41,0,0,0,7,0,7,0,7,0
DevOps_Project,tn.esprit.devops_project.services,StockServiceImpl,29,0,0,0,4,0,5,0,5,0
DevOps_Project,tn.esprit.devops_project,DevOps_ProjectSpringBootApplication,8,0,0,0,3,0,2,0,2,0
